eid,w,o10,s1000
1309,0,804,101
1309,0,979,238
1310,0,2400,224
1310,0,331,178
1310,0,1809,214
1310,0,180,35
1310,0,43,-185
1310,1,14,336
1310,0,406,12
1310,0,46,2
1310,0,3081,184
1310,0,984,86
1311,0,42,-175
1311,1,19,-5
1311,0,37,-86
1311,0,1636,143
1311,0,305,165
1311,0,1149,38
1311,0,462,397
1311,0,192,-96
1311,0,678,-22
1311,0,1843,-13
1312,0,676,524
1312,0,924,3
1312,1,10,-601
1312,0,214,19
1312,0,1022,94
1312,0,170,-130
1312,0,2973,766
1312,0,108,-23
1313,0,27,-230
1313,0,332,54
1313,0,1132,271
1313,0,512,-7
1313,0,74,-177
1313,0,591,-182
1313,1,38,-42
1313,0,700,46
1313,0,165,-107
1313,0,115,-28
1313,0,38,-191
1314,0,18,-311
1314,0,530,-112
1314,0,1317,225
1314,0,614,146
1314,0,562,71
1314,0,220,-10
1314,0,634,73
1314,0,1084,-148
1315,1,58,-227
1315,0,1129,-121
1315,0,24,-256
1315,0,534,203
1315,0,180,-23
1315,0,513,-222
1315,0,117,-76
1315,0,572,-148
1315,0,96,-189
1315,0,81,-252
1316,0,1620,177
1316,0,1499,-4
1316,0,314,259
1316,0,725,533
1316,0,26,82
1316,0,88,29
1316,1,78,-123
1316,0,232,-91
1316,0,1822,126
1316,0,38,-220
1317,0,2966,-14
1317,0,1132,199
1317,0,2789,51
1317,0,355,50
1317,1,37,-103
1317,0,73,-8
1317,0,55,13
1317,0,217,75
1317,0,2217,227
1318,0,53,-91
1318,0,108,-67
1318,0,21,-149
1318,0,3272,277
1318,0,743,-4
1318,0,1070,-53
1318,0,978,140
1318,0,1460,641
1318,0,1497,-31
1318,0,66,-257
1319,0,411,129
1319,1,68,-209
1319,0,51,-46
1319,0,34,-64
1319,0,588,428
1319,0,177,25
1319,0,424,112
1319,0,304,331
1319,0,3794,328
1319,0,194,130
1319,0,33,157
1320,0,53,-241
1320,0,95,-121
1320,0,4901,168
1320,0,469,-24
1320,0,1337,-100
1320,0,522,-142
1320,1,181,-265
1320,0,82,97
1320,0,1203,137
1321,1,239,-93
1321,0,327,-84
1321,0,53,-166
1321,0,1389,6
1321,0,402,-5
1321,0,63,-142
1321,0,1232,44
1321,0,43,-156
1321,0,103,-73
1321,0,21,-195
1322,0,329,212
1322,0,719,-69
1322,0,396,-98
1322,0,121,-210
1322,0,669,438
1322,0,83,-132
1322,0,611,124
1323,0,415,-53
1323,0,126,-72
1323,0,725,-44
1323,0,888,-17
1323,0,103,-106
1323,0,973,9
1323,0,199,-460
1323,0,453,-90
1324,0,191,-88
1324,1,66,-36
1324,0,2246,63
1324,0,1378,7
1324,0,680,-77
1325,0,183,55
1325,0,641,-70
1325,0,39,-1
1325,0,16,-269
1325,0,720,-151
1326,0,114,153
1326,0,2211,467
1326,0,254,43
1326,0,1776,65
1326,0,851,-308
1327,0,124,-26
1327,0,29,-249
1327,0,1041,-180
1327,0,2813,502
1327,1,56,-218
1327,0,666,101
1327,0,198,-112
1327,0,354,-101
1327,0,1360,28
1327,0,31,-94
1328,0,638,194
1328,0,313,-34
1328,0,1043,95
1328,0,571,138
1328,0,2188,128
1328,0,1118,126
1328,0,1143,439
1328,0,45,119
1328,0,77,-222
1329,0,589,6
1329,0,848,-45
1329,0,146,-278
1329,1,16,-304
1329,0,263,531
1329,0,793,227
1330,0,1397,308
1330,0,899,99
1330,0,1283,607
1330,0,17,-105
1330,0,880,179
1330,0,49,-147
1330,0,55,-25
1330,0,1246,172
1330,0,648,52
1331,0,1242,33
1331,0,386,-99
1331,0,1070,221
1331,0,232,21
1331,0,35,85
1331,0,32,-105
1331,1,28,-107
1332,0,61,-214
1332,0,198,-37
1332,0,123,-182
1332,0,200,-68
1332,1,13,-208
1332,0,268,72
1332,0,534,411
1332,0,400,86
1332,0,1258,149
1332,0,935,-50
1332,0,139,9
1333,0,1529,293
1333,0,2191,351
1333,0,567,122
1333,0,37,-67
1333,0,916,16
1333,0,258,-11
1333,0,78,-69
1334,0,28,60
1334,0,65,-22
1334,0,260,18
1334,0,30,-192
1334,0,754,619
1334,0,99,-258
1334,1,50,46
1334,0,356,33
1334,0,274,301
1335,0,2825,87
1335,0,129,-115
1335,0,48,73
1335,0,358,-33
1335,0,2953,152
1335,0,1144,171
1335,0,48,-147
1335,0,76,247
1335,1,17,-15
1336,0,19,-424
1336,1,17,-252
1336,0,720,-94
1336,0,222,-163
1336,0,734,-45
1336,0,640,56
1336,0,380,-89
1336,0,848,-138
1336,0,277,-161
1337,0,272,442
1337,0,34,33
1337,1,142,23
1337,0,77,-33
1337,0,114,-112
1337,0,74,-40
1337,0,271,-8
1337,0,379,174
1337,0,80,-39
1337,0,114,82
1337,0,431,18
1338,0,2895,405
1338,0,208,-60
1338,1,26,-230
1338,0,643,-150
1338,0,351,-222
1338,0,158,-187
1338,0,5638,-215
1338,0,3943,-50
1338,0,21,-91
1338,0,168,-84
1339,0,348,-106
1339,0,3107,557
1339,0,3488,-142
1339,0,114,-76
1339,0,18,-98
1339,0,432,87
1339,0,340,259
1339,1,55,260
1339,0,2813,358
1339,0,31,-153
1339,0,568,-118
1340,0,211,170
1340,0,206,-141
1340,0,6097,107
1340,0,470,23
1340,0,25,-92
1340,0,2350,89
1340,0,879,-40
1341,0,1147,125
1341,0,14,-312
1341,0,243,-33
1341,0,3224,113
1341,0,1399,21
1341,0,144,-246
1341,0,338,-24
1341,0,244,-153
1341,0,38,-247
1341,1,146,-75
1342,0,894,-218
1342,0,361,-168
1342,0,966,-188
1342,0,1822,323
1342,1,42,10
1343,0,158,174
1343,0,56,-257
1343,0,1048,128
1343,0,1150,34
1343,0,558,33
1343,1,27,-402
1343,0,226,-87
1343,0,1319,57
1343,0,18,-367
1344,0,1825,103
1344,0,3404,257
1344,0,551,-152
1344,0,186,-171
1344,1,12,-355
1344,0,2907,39
1344,0,2402,111
1344,0,408,38
1344,0,75,-160
1345,0,1586,56
1345,0,3049,49
1345,0,363,98
1345,0,46,-161
1345,0,1818,421
1345,0,211,57
1345,0,159,-138
1345,1,126,-179
1345,0,163,-96
1345,0,2780,508
1345,0,2716,279
1345,0,231,-82
1346,0,751,89
1346,0,4328,360
1346,0,2792,155
1346,0,611,-102
1346,0,1557,2
1346,0,174,38
1346,0,68,-134
1346,0,58,-165
1346,1,17,-293
1346,0,90,-80
1346,0,111,-83
1347,1,59,-182
1347,0,3835,236
1347,0,60,-147
1347,0,280,-96
1347,0,35,-134
1347,0,730,55
1347,0,23,-357
1347,0,608,-56
1347,0,572,58
1347,0,543,275
1347,0,254,7
1347,0,1420,481
1347,0,907,-142
1348,0,358,-35
1348,0,1413,297
1348,0,2706,94
1348,0,3493,576
1348,1,28,-253
1348,0,3967,22
1348,0,1713,-87
1348,0,81,-35
1349,0,1779,188
1349,0,140,-63
1349,0,305,418
1349,0,1283,-198
1349,1,13,-174
1349,0,55,-47
1349,0,1176,-116
1349,0,199,-1
1349,0,326,27
1349,0,241,-68
1351,0,57,200
1351,0,1993,-29
1351,0,4128,229
1351,1,20,-161
1351,0,83,-171
1351,0,233,3
1351,0,134,-76
1351,0,97,-16
1351,0,731,-14
1352,0,148,31
1352,0,847,-35
1352,0,319,74
1352,0,29,-55
1352,0,480,59
1352,0,1070,194
1352,0,273,-130
1352,0,1485,69
1352,0,24,-271
1352,1,31,-132
1353,0,1643,221
1353,0,145,58
1353,0,163,29
1353,0,188,-159
1353,0,2096,198
1353,0,376,37
1353,0,65,-193
1353,1,19,-205
1354,1,10,-205
1354,0,85,-233
1354,0,884,255
1354,0,533,10
1354,0,114,-219
1354,0,723,30
1354,0,211,-27
1354,0,1583,269
1354,0,581,85
1354,0,794,17
1355,0,28,-181
1355,0,477,-15
1355,0,117,-76
1355,0,227,-15
1355,0,106,11
1355,0,51,1
1355,0,150,66
1355,0,112,-61
1355,0,1723,20
1355,1,34,-9
1355,0,2103,503
1356,0,123,157
1356,1,22,-209
1356,0,1245,425
1356,0,262,141
1356,0,1304,307
1356,0,261,199
1356,0,543,171
1356,0,37,-158
1356,0,141,-58
1356,0,37,28
1357,0,146,113
1357,0,35,-3
1357,1,85,-133
1357,0,21,-169
1357,0,2380,202
1357,0,116,-59
1357,0,174,73
1357,0,482,-88
1358,0,31,-295
1358,0,1533,221
1358,0,65,-410
1358,0,1512,281
1358,0,282,-115
1358,0,1099,72
1358,1,20,-290
1358,0,101,-98
1358,0,662,-90
1358,0,74,-194
1359,0,127,-169
1359,0,16,-81
1359,0,1407,555
1359,0,354,223
1359,0,521,-17
1359,1,32,-159
1360,0,125,-216
1360,0,5009,743
1360,0,742,-131
1360,0,117,-199
1360,0,2323,55
1360,0,89,-80
1360,0,76,-167
1361,0,371,401
1361,0,80,-182
1361,0,399,264
1361,0,151,70
1361,0,818,27
1361,0,711,284
1361,0,1719,180
1361,0,72,-203
1361,1,16,-151
1361,0,48,-182
1362,0,1469,-16
1362,0,429,-37
1362,0,2375,203
1362,0,576,374
1362,0,166,66
1362,0,1177,-23
1362,1,68,48
1362,0,78,275
1362,0,287,100
1363,0,2097,129
1363,0,21,-313
1363,0,3501,66
1363,0,471,-51
1363,0,735,-70
1363,0,90,-192
1363,0,52,-189
1363,0,5789,97
1363,0,334,-37
1363,0,197,-128
1363,1,105,-6
1364,0,4754,-144
1364,0,536,-79
1364,1,311,-92
1364,0,1651,367
1364,0,21,-25
1364,0,190,-15
1364,0,3281,-6
1364,0,579,315
1364,0,88,109
1365,0,168,153
1365,0,1104,4
1365,0,603,99
1365,0,142,19
1365,0,91,4
1365,0,239,75
1365,0,633,-145
1365,1,19,-213
1365,0,1340,71
1365,0,25,-267
1366,0,393,581
1366,0,2091,259
1366,0,21,-320
1366,1,254,-67
1366,0,1759,-199
1366,0,208,-126
1366,0,41,-10
1366,0,90,99
1366,0,776,661
1366,0,56,114
1366,0,110,-66
1367,0,779,79
1367,0,717,-18
1367,0,341,-18
1367,0,119,-253
1367,0,116,90
1367,0,44,-121
1368,0,409,68
1368,1,51,-120
1368,0,14,-176
1368,0,138,7
1368,0,122,-91
1368,0,1074,107
1369,0,46,-145
1369,1,31,-173
1369,0,16,-421
1369,0,342,249
1369,0,182,-127
1370,1,17,-107
1370,0,564,-260
1371,0,23,-157
1371,0,54,-77
1371,1,359,-102
1371,0,447,-39
1371,0,239,-103
1371,0,112,127
1371,0,810,52
1371,0,1035,274
1371,0,1188,58
1371,0,320,-167
1371,0,146,-112
1372,0,140,-161
1372,0,76,-108
1372,0,229,-282
1372,0,607,-135
1372,0,71,-401
1372,0,4142,26
1373,1,247,-245
1373,0,79,-146
1373,0,572,-107
1373,0,564,295
1373,0,161,-77
1373,0,39,-211
1373,0,39,-155
1373,0,675,47
1373,0,471,606
1373,0,1515,-5
1373,0,25,-286
1373,0,196,32
1374,0,326,-66
1374,0,141,-312
1374,0,616,-159
1374,0,245,-146
1374,0,621,96
1374,0,4600,126
1374,0,1842,-13
1374,0,1095,-154
1375,0,1964,-79
1375,0,3561,176
1375,0,51,-625
1375,0,2572,264
1375,0,1681,-70
1375,0,670,364
1375,0,83,-337
1375,0,1733,191
1375,0,271,-49
1376,0,53,-75
1376,0,996,-114
1376,0,71,41
1376,0,780,32
1376,1,52,-276
1377,0,951,251
1377,1,22,-126
1377,0,311,302
1377,0,529,-116
1377,0,894,-72
1377,0,430,-227
1377,0,43,-108
1378,0,1022,460
1378,0,88,-161
1378,0,65,-173
1378,0,2258,370
1378,0,318,-28
1378,1,410,-97
1378,0,201,-292
1378,0,90,385
1378,0,1696,38
1379,0,33,-268
1379,0,1597,44
1379,0,1073,3
1379,0,936,-80
1379,1,20,-317
1379,0,53,-173
1379,0,1071,96
1380,0,174,7
1380,0,242,-67
1380,1,13,-284
1380,0,467,-63
1380,0,320,19
1380,0,321,-35
1380,0,908,9
1380,0,1171,-32
1380,0,2473,-12
1380,0,2152,-107
1380,0,517,156
1381,0,84,27
1381,0,811,241
1382,0,334,51
1382,0,62,-100
1382,0,247,-122
1382,0,255,-103
1382,0,1690,-51
1382,0,1478,-15
1383,0,4185,142
1383,0,388,-222
1383,0,45,-161
1383,0,35,-102
1383,0,72,-108
1383,0,399,-69
1383,0,221,-251
1383,0,492,-89
1383,0,528,-149
1384,0,187,-19
1384,0,5073,416
1384,1,34,-241
1384,0,522,53
1384,0,246,-158
1384,0,322,46
1384,0,304,-77
1384,0,199,-56
1384,0,109,-111
1384,0,4979,591
1385,0,1198,193
1385,0,79,-164
1385,0,1377,42
1385,0,5317,74
1385,0,255,-221
1385,0,3668,448
1385,0,2550,-149
1385,0,35,-389
1385,0,133,-251
1385,0,320,-134
1385,0,1110,-19
1385,1,28,-136
1385,0,3076,-118
1387,1,29,-83
1387,0,361,350
1387,0,108,168
1387,0,93,108
1387,0,40,76
1387,0,73,72
1387,0,1451,516
1387,0,222,-121
1389,0,53,-206
1389,1,15,-405
1389,0,523,295
1389,0,1145,149
1389,0,475,-73
1389,0,1260,187
1389,0,2106,330
1389,0,78,-70
1389,0,4299,223
1389,0,41,-247
1390,0,1386,126
1390,0,1072,322
1390,0,1679,169
1390,0,100,194
1390,0,660,153
1390,0,156,-57
1390,0,922,281
1390,1,12,-124
1390,0,50,-48
1391,0,19,-275
1391,0,289,-33
1391,1,71,-215
1391,0,55,-110
1391,0,45,-49
1391,0,1080,196
1391,0,843,295
1392,0,684,-86
1392,0,351,-84
1392,0,1242,-57
1392,0,1929,-83
1392,0,27,-54
1392,1,155,-58
1392,0,183,-218
1392,0,18,-237
1392,0,71,-104
1392,0,748,9
1393,0,2774,437
1393,0,688,696
1393,0,92,-161
1393,0,31,-154
1393,1,71,-93
1393,0,136,-29
1393,0,2363,63
1393,0,910,114
1393,0,18,41
1394,0,34,-246
1394,0,1519,169
1394,0,108,92
1394,0,313,62
1394,0,285,-164
1394,0,117,7
1394,0,214,264
1394,0,17,-42
1394,1,112,17
1395,0,1220,-148
1395,0,424,-139
1395,0,71,-152
1395,0,49,-38
1395,0,189,-294
1395,0,122,-128
1395,0,22,-277
1395,0,847,22
1395,1,562,-86
1395,0,1273,19
1395,0,37,-178
1396,0,151,-127
1396,0,24,-243
1396,0,575,134
1396,0,39,-219
1396,0,800,-32
1396,1,265,21
1396,0,34,9
1397,0,39,41
1397,1,20,-292
1397,0,227,26
1397,0,218,24
1397,0,438,109
1397,0,65,-1
1397,0,104,-29
1398,1,26,-217
1398,0,160,171
1398,0,206,-85
1398,0,387,365
1398,0,194,328
1398,0,180,72
1398,0,27,194
1398,0,189,379
1399,0,19,21
1399,0,112,374
1399,0,172,170
1399,0,261,258
1399,0,65,-186
1399,0,301,16
1399,0,209,280
1399,0,109,78
1399,1,78,206
1399,0,105,-77
1400,0,137,-15
1400,0,48,359
1400,0,202,281
1400,0,99,129
1400,0,79,6
1400,0,47,23
1400,1,40,48
1400,0,58,221
1400,0,918,475
1400,0,168,308
1401,0,37,177
1401,0,74,-112
1401,0,46,-208
1401,0,408,535
1401,0,51,108
1401,0,135,-52
1401,0,472,-7
1401,1,104,-19
1401,0,69,79
1401,0,130,360
1402,0,76,180
1402,0,144,116
1402,0,118,6
1402,0,157,206
1402,0,76,501
1402,0,23,-72
1402,0,466,578
1402,0,64,99
1402,1,61,18
1403,0,170,127
1403,0,59,-75
1403,0,36,139
1403,0,313,182
1403,0,39,-184
1403,0,57,151
1403,0,130,297
1403,0,327,299
1403,1,55,-50
1404,0,146,97
1404,0,43,-18
1404,0,29,-58
1404,0,256,222
1404,0,201,112
1404,0,377,375
1404,0,62,90
1404,1,33,-166
1404,0,238,335
1405,0,169,206
1405,0,131,224
1405,0,153,537
1405,0,72,84
1405,0,113,-95
1405,0,54,115
1405,0,90,-212
1405,1,270,202
1405,0,43,-41
1405,0,37,-154
1406,0,470,394
1406,0,69,-15
1406,0,231,50
1406,0,165,18
1406,1,38,-106
1406,0,24,-53
1406,0,102,33
1406,0,129,213
1406,0,69,90
1407,0,45,64
1407,0,900,461
1407,1,121,-183
1407,0,134,-45
1407,0,50,-248
1407,0,18,-158
1407,0,97,-115
1407,0,368,-38
1408,1,84,-24
1408,0,320,134
1408,0,589,75
1408,0,419,328
1408,0,138,-12
1408,0,521,341
1408,0,30,-163
1408,0,50,-129
1408,0,28,-37
1408,0,112,-138
1409,0,29,-14
1409,0,79,46
1409,0,287,200
1409,1,49,-10
1409,0,695,198
1409,0,178,125
1409,0,80,2
1409,0,39,-155
1409,0,171,-57
1409,0,224,37
1411,0,59,-175
1411,0,194,-147
1411,0,43,-109
1411,0,543,-164
1411,0,129,-267
1411,0,2461,91
1411,0,450,-35
1411,1,65,-220
1411,0,1457,-43
1411,0,39,-187
1412,0,1421,-231
1412,0,124,7
1412,0,232,-51
1412,0,52,-232
1412,0,320,-148
1413,0,221,43
1413,0,38,-151
1413,0,5977,49
1413,0,1525,-21
1413,0,402,-166
1413,1,17,-254
1413,0,1665,398
1415,0,608,-187
1415,1,121,-258
1415,0,86,-277
1415,0,5730,-173
1415,0,120,-141
1416,0,227,-64
1416,0,48,-69
1417,0,394,390
1417,0,69,-166
1417,1,69,-126
1417,0,147,-259
1417,0,207,-136
1417,0,150,-61
1418,0,710,-27
1418,0,73,-260
1418,0,142,-130
1419,0,2013,165
1419,0,25,-44
1419,0,105,-17
1419,0,498,83
1420,0,63,-182
1420,0,66,-87
1420,0,93,-185
1420,0,715,-198
1421,0,2017,-18
1421,0,1706,-95
1422,0,109,-249
1422,0,886,-71
1422,1,48,-138
1422,0,50,-153
1422,0,1763,-87
1422,0,569,-217
1422,0,137,-57
1422,0,286,-101
1422,0,56,-88
1423,0,52,-80
1423,0,589,-145
1423,0,27,-244
1423,0,455,-46
1423,1,104,-175
1424,0,428,-185
1424,0,80,-171
1424,0,119,-207
1424,0,4653,228
1424,0,319,-197
1424,0,3918,-189
1424,1,31,-217
1424,0,410,-56
1425,1,61,-99
1425,0,332,-63
1425,0,48,-236
1425,0,104,-226
1425,0,227,-187
1425,0,516,26
1427,0,1183,-110
1427,0,33,-77
1427,0,562,-235
1427,1,51,-93
1428,0,232,-131
1428,0,335,-30
1428,1,20,-23
1429,0,672,-77
1429,0,5518,276
1429,0,2422,-28
1429,0,67,-98
1429,1,21,-249
1429,0,76,-252
1429,0,132,-68
1429,0,78,-62
1429,0,483,-122
1430,0,32,-235
1430,1,35,-70
1431,0,162,-187
1431,0,81,-182
1431,0,710,248
1431,0,146,-81
1431,0,148,-161
1432,1,16,-360
1432,0,751,78
1432,0,1010,0
1433,0,20,-218
1433,0,57,-78
1434,0,35,-56
1434,0,53,26
1434,0,4484,-32
1434,0,3688,95
1434,0,106,-75
1434,0,705,-83
1435,0,81,-241
1435,1,41,-142
1436,0,2122,165
1436,0,1042,-227
1436,0,166,-99
1436,0,146,-163
1437,0,301,-147
1437,1,60,32
1437,0,15,-107
1438,1,262,73
1439,0,2427,-74
1439,0,77,-251
1439,0,5281,133
1440,0,224,-54
1440,1,20,-201
1440,0,299,-140
1440,0,1039,-308
1440,0,62,-266
1440,0,303,65
1441,0,3176,147
1441,0,38,-255
1441,0,1419,4
1441,0,339,-147
1441,0,73,-189
1442,0,35,-149
1443,1,14,-328
1444,0,203,-193
1444,0,188,215
1446,0,48,6
1446,0,952,215
1446,1,101,-3
1446,0,17,-81
1446,0,865,263
1446,0,483,-60
1446,0,766,237
1447,0,621,-11
1447,1,16,-365
1447,0,1805,19
1447,0,436,116
1447,0,1435,228
1447,0,389,209
1447,0,1368,87
1447,0,339,-11
1448,0,343,41
1448,0,1177,89
1448,0,497,14
1448,0,96,49
1448,0,2047,-57
1448,0,422,-22
1448,0,1521,-47
1448,0,38,-150
1448,1,13,-133
1448,0,277,245
1449,0,368,32
1449,0,618,106
1449,0,225,-134
1449,0,1735,235
1449,0,1558,39
1449,0,2283,206
1449,1,12,-78
1449,0,434,-28
1449,0,2366,109
1449,0,120,-20
1449,0,54,-154
1449,0,537,49
1450,0,68,-175
1450,0,190,-129
1450,0,219,195
1450,1,546,78
1450,0,402,125
1450,0,779,78
1450,0,62,-79
1450,0,244,350
1450,0,326,196
1450,0,25,-75
1450,0,30,194
1451,0,271,37
1451,0,44,41
1451,0,2478,114
1451,0,92,-42
1451,0,191,26
1451,1,268,-122
1451,0,183,49
1451,0,119,35
1451,0,22,-124
1452,0,200,17
1452,1,30,-212
1452,0,225,53
1452,0,742,61
1452,0,1298,300
1452,0,150,377
1452,0,54,-96
1452,0,412,556
1453,0,40,-188
1453,0,349,38
1453,0,1535,332
1453,0,160,-30
1453,0,815,180
1453,0,384,69
1453,0,410,118
1453,0,15,-346
1453,0,76,142
1453,1,205,-184
1454,0,300,-2
1454,0,59,-56
1454,0,84,-291
1454,0,378,435
1454,0,324,101
1454,1,74,-7
1454,0,258,357
1454,0,18,-297
1454,0,60,46
1455,0,1111,411
1455,0,139,-41
1455,0,16,-344
1455,0,395,172
1455,0,97,-79
1455,0,522,277
1455,0,353,158
1455,0,106,-51
1455,1,32,-178
1456,0,319,-106
1456,0,59,-289
1456,1,13,-390
1456,0,244,151
1456,0,156,-316
1456,0,808,69
1456,0,371,17
1456,0,79,-155
1456,0,597,-122
1457,0,1882,230
1457,0,852,-30
1457,0,103,-9
1457,0,1033,210
1457,0,58,-82
1457,0,285,101
1457,0,795,199
1457,0,81,-20
1457,1,13,-13
1457,0,936,117
1458,0,217,573
1458,0,44,45
1458,1,48,-89
1458,0,80,99
1458,0,81,-84
1458,0,80,-41
1458,0,121,218
1458,0,100,135
1458,0,45,65
1459,0,226,-68
1459,1,54,200
1459,0,22,54
1459,0,152,347
1459,0,45,63
1459,0,133,-42
1459,0,140,92
1459,0,452,277
1459,0,312,-363
1459,0,114,293
1460,0,147,141
1460,0,181,379
1460,0,145,-7
1460,0,110,268
1460,0,54,-147
1460,0,333,-21
1460,0,29,-94
1460,0,55,11
1460,1,66,32
1460,0,124,29
1461,0,53,-56
1461,0,88,-119
1461,1,20,-28
1461,0,361,237
1461,0,194,169
1461,0,76,104
1461,0,149,40
1461,0,118,248
1461,0,93,353
1462,1,63,-407
1462,0,48,183
1462,0,105,276
1462,0,283,-35
1462,0,41,107
1462,0,153,122
1462,0,65,-8
1462,0,39,-197
1462,0,240,-92
1463,0,102,210
1463,0,414,398
1463,1,34,18
1463,0,72,203
1463,0,333,400
1463,0,47,-1
1463,0,30,-123
1463,0,73,-98
1464,0,193,-3
1464,0,83,70
1464,0,88,-104
1464,0,366,481
1464,0,93,36
1464,0,42,-84
1464,1,18,-12
1464,0,253,577
1464,0,351,462
1465,1,67,-125
1465,0,41,-73
1465,0,32,-168
1465,0,117,66
1465,0,45,135
1465,0,83,138
1465,0,383,224
1465,0,297,431
1465,0,277,479
1466,0,58,-69
1466,0,21,-129
1466,0,236,-33
1466,0,662,406
1466,0,381,533
1466,1,46,-75
1466,0,41,98
1466,0,187,353
1466,0,412,-40
1467,0,49,46
1467,0,268,-2
1467,1,65,-79
1467,0,106,189
1467,0,142,20
1467,0,22,-182
1467,0,362,392
1467,0,478,331
1467,0,55,224
1468,0,64,-115
1468,0,441,-39
1468,0,75,-182
1468,0,12,-259
1468,0,177,237
1468,0,825,-49
1469,0,350,273
1469,0,176,117
1469,0,154,259
1469,0,82,55
1469,1,40,-95
1469,0,189,132
1469,0,817,209
1469,0,34,-256
1469,0,28,-177
1469,0,357,-101
1470,0,368,110
1470,0,105,-157
1470,0,20,-266
1470,0,36,-177
1471,0,181,-40
1471,0,140,-159
1471,0,366,-197
1471,0,62,-123
1471,0,125,-275
1471,0,264,-153
1471,0,87,-105
1472,0,411,-64
1472,0,33,-184
1472,0,41,-314
1472,0,342,-154
1472,0,234,-115
1474,0,297,-357
1475,0,117,-97
1475,0,37,-317
1475,0,1603,101
1475,1,34,-212
1476,0,152,-32
1476,0,3721,337
1476,0,2521,-123
1477,0,58,-142
1477,0,34,-225
1477,0,398,-101
1477,0,88,0
1478,0,360,-79
1478,0,4442,-48
1478,0,197,-262
1479,0,279,-119
1480,0,268,5
1480,0,3029,-175
1480,0,852,-203
1480,0,27,-86
1480,0,770,-226
1481,0,32,-198
1481,1,32,-168
1481,0,500,-61
1481,0,34,-31
1481,0,81,-58
1481,0,482,211
1481,0,605,-163
1481,0,998,282
1482,0,209,-32
1482,0,83,-39
1482,0,301,-146
1482,0,88,-287
1482,0,187,-143
1482,0,1694,92
1482,0,219,-286
1482,0,1373,-65
1482,0,491,-195
1482,0,51,-184
1483,0,37,-104
1483,0,2087,129
1483,0,2404,111
1483,0,615,-124
1483,0,50,-126
1483,1,26,-143
1483,0,1181,54
1483,0,5039,214
1483,0,206,-134
1483,0,2584,-19
1484,0,82,-87
1484,0,19,-296
1484,0,46,-89
1484,0,173,-61
1484,0,1185,-102
1484,1,69,-142
1485,0,675,293
1485,0,68,-123
1487,0,84,-177
1487,0,75,-176
1487,0,73,-290
1487,1,256,-142
1487,0,995,82
1488,0,162,-288
1488,1,761,-85
1488,0,3744,136
1488,0,1438,307
1488,0,1019,4
1488,0,113,-59
1488,0,62,-251
1488,0,23,-223
1489,0,613,39
1489,1,58,-164
1489,0,734,33
1489,0,432,-217
1490,0,88,-162
1490,0,506,100
1490,0,1774,-148
1490,0,21,-217
1491,0,15,-334
1491,0,513,337
1492,0,105,-150
1492,0,1214,10
1492,1,274,-100
1492,0,305,-130
1493,1,159,-137
1493,0,54,-75
1493,0,110,-106
1493,0,156,-164
1493,0,804,-104
1493,0,2782,143
1493,0,156,295
1493,0,324,-301
1493,0,27,-227
1494,0,43,-39
1494,0,429,-207
1494,0,268,10
1494,0,981,-23
1494,0,136,-12
1494,0,1181,-89
1494,1,127,-118
1494,0,38,-82
1494,0,74,-264
1494,0,841,167
1495,1,44,-118
1495,0,276,-88
1495,0,47,-72
1496,0,38,-120
1496,0,39,-56
1497,0,376,342
1497,0,36,-77
1499,0,983,-58
1499,0,29,-85
1499,0,697,-194
1499,0,73,-224
1499,0,82,-176
1499,1,57,-23
1499,0,292,-103
1500,0,98,-81
1501,0,32,0
1501,1,187,-12
1501,0,820,-12
1502,0,739,-163
1502,0,2236,-29
1502,0,113,-266
1503,0,679,-99
1503,1,88,-93
1503,0,310,-243
1505,0,312,23
1506,0,25,-149
1506,0,66,281
1506,0,1401,221
1506,0,177,434
1506,0,156,125
1506,1,24,-24
1507,0,213,173
1507,0,24,-112
1507,0,226,5
1507,0,61,-170
1507,0,437,204
1507,0,55,-64
1507,1,26,-237
1508,0,51,-15
1508,0,52,-6
1508,0,424,458
1508,0,617,206
1508,0,701,263
1508,0,237,5
1508,1,13,-158
1509,0,1318,280
1509,0,345,201
1509,0,2086,240
1509,0,1252,309
1509,0,110,-153
1509,0,62,30
1509,1,42,-181
1509,0,1974,477
1509,0,489,-9
1509,0,124,383
1510,0,21,-279
1510,0,1411,-118
1510,0,1678,55
1510,0,217,-343
1510,1,80,-372
1510,0,575,-123
1510,0,536,-217
1510,0,1727,-106
1510,0,1182,-125
1510,0,1680,153
1511,0,27,115
1511,0,122,-73
1511,0,67,384
1511,0,1116,105
1511,0,305,-60
1511,0,291,292
1511,0,195,301
1512,0,426,388
1512,0,81,207
1512,0,147,115
1512,0,949,175
1512,0,143,108
1512,0,96,-29
1512,1,12,-220
1513,0,23,-292
1513,0,1463,47
1513,0,34,-229
1513,0,351,-70
1513,1,161,38
1513,0,231,-49
1513,0,76,-226
1513,0,1181,-178
1513,0,524,-80
1513,0,50,-50
1514,0,621,-129
1514,0,267,115
1514,0,33,-227
1514,0,89,-1
1514,0,127,-21
1514,0,151,-56
1514,0,1352,68
1514,0,401,396
1514,1,20,-146
1514,0,84,52
1515,0,277,280
1515,0,112,74
1515,0,475,34
1515,0,69,62
1515,0,763,233
1515,1,25,-39
1515,0,140,45
1515,0,207,27
1515,0,42,365
